Dataset,Model,Tuning,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Bank Dataset,LR Baseline,False,0.6726377071204658,0.6810631229235881,0.5812854442344045,0.6272310045894951,0.7292683907814825
Bank Dataset,Bank Dataset,True,0.6726377071204658,0.678298800436205,0.5879017013232514,0.629873417721519,0.7315834774564615
Bank Dataset,DTC Baseline,False,0.5924764890282131,0.5715667311411993,0.558601134215501,0.5650095602294455,0.5910843421952299
Bank Dataset,DecisionTree Tuning,True,0.6695029108822212,0.6869158878504673,0.555765595463138,0.6144200626959248,0.7152905924466074
Bank Dataset,Bank Dataset,True,0.6726377071204658,0.678298800436205,0.5879017013232514,0.629873417721519,0.7315834774564614
Bank Dataset,Bank Dataset,True,0.6726377071204658,0.678298800436205,0.5879017013232514,0.629873417721519,0.7315786510075212
